   100000 basha  125.00
   200000 hady   29862.00
   300000 shady  39862.00
   400000 dady   49862.00
   500000 Hamed  986574.00     
   600000 Saber  1256.00     
   700000 Fadel  96587.00
   800000 Moh_h  56987.00     
   900000 Ahmed  368745.00     
   999999 hassan 456938.00


   100000 D    31.25     
   200000 D  2473.80     
   300000 D    25.00     
   400000 D    22.86     
   500000 D 123321.75     
   600000 D   139.56     
   700000 D  9658.70     
   800000 D 56987.00     
   900000 D 184372.50     
   999999 D 152312.67  
